date,year,region,measures,unit,index_value,percentage
1983-04,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.9,6.90%
1983-05,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.1,6.10%
1983-06,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5,5.50%
1983-07,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5,5.50%
1983-08,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.2,5.20%
1983-09,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.9,4.90%
1983-10,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.7,4.70%
1983-11,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.2,4.20%
1983-12,1983,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.3,4.30%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.1,37.90%
1984-01,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.6,4.60%
1984-01,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.3,36.70%
1984-01,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.5,24.50%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.4,26.60%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.7,24.30%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.6,26.40%
1984-01,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",90.9,9.10%
1984-01,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92,8.00%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.3,8.70%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.4,7.60%
1984-01,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.5,8.50%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.3,37.70%
1984-02,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.5,4.50%
1984-02,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.6,36.40%
1984-02,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.9,24.10%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.6,26.40%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76,24.00%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.7,26.30%
1984-02,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.3,8.70%
1984-02,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.5,7.50%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.6,8.40%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7,7.30%
1984-02,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.7,8.30%
1984-02,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-02,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.7,37.30%
1984-03,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,4.40%
1984-03,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.7,36.30%
1984-03,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76,24.00%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74,26.00%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76,24.00%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.9,26.10%
1984-03,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.8,8.20%
1984-03,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.8,7.20%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92,8.00%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7,7.30%
1984-03,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.9,8.10%
1984-03,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-03,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.8,37.20%
1984-04,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,4.40%
1984-04,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9,36.10%
1984-04,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3,23.70%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.2,25.80%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.2,23.80%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.1,25.90%
1984-04,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.1,7.90%
1984-04,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93,7.00%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.2,7.80%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93,7.00%
1984-04,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.2,7.80%
1984-04,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-04,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63,37.00%
1984-05,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,4.40%
1984-05,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9,36.10%
1984-05,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3,23.70%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.4,25.60%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.3,23.70%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.5,25.50%
1984-05,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.3,7.70%
1984-05,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.1,6.90%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.5,7.50%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1,6.90%
1984-05,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.6,7.40%
1984-05,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-05,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.1,36.90%
1984-06,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.1,4.10%
1984-06,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.3,35.70%
1984-06,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.7,23.30%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.5,25.50%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.6,23.40%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.6,25.40%
1984-06,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.4,7.60%
1984-06,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.5,6.50%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.7,7.30%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5,6.50%
1984-06,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.8,7.20%
1984-06,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-06,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.4,36.60%
1984-07,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4,4.00%
1984-07,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5,35.50%
1984-07,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1,22.90%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.8,25.20%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77,23.00%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.8,25.20%
1984-07,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.6,7.40%
1984-07,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94,6.00%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93,7.00%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.9,6.10%
1984-07,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1,6.90%
1984-07,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-07,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.5,36.50%
1984-08,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7,3.70%
1984-08,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5,35.50%
1984-08,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1,22.90%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75,25.00%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1,22.90%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75,25.00%
1984-08,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.8,7.20%
1984-08,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94,6.00%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.3,6.70%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94,6.00%
1984-08,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.3,6.70%
1984-08,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-08,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.7,36.30%
1984-09,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7,3.70%
1984-09,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.6,35.40%
1984-09,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2,22.80%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.2,24.80%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.2,22.80%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.2,24.80%
1984-09,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.2,6.80%
1984-09,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1,5.90%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6,6.40%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.2,5.80%
1984-09,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5,6.50%
1984-09,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0,0.00%
1984-09,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0,0.00%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.8,36.20%
1984-10,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.5,3.50%
1984-10,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.7,35.30%
1984-10,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2,22.80%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.3,24.70%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1,22.90%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.9,25.10%
1984-10,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.4,6.60%
1984-10,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1,5.90%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6,6.40%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94,6.00%
1984-10,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.2,6.80%
1984-10,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.2,0.20%
1984-10,1984,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.2,0.20%
1984-11,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",64,36.00%
1984-11,1984,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.8,3.80%
1984-11,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",65,35.00%
1984-11,1984,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.6,22.40%
1984-11,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.6,24.40%
1984-11,1984,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.6,22.40%
1984-11,1984,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.3,24.70%
1984-11,1984,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.9,6.10%
